,id,title,imdb_id,original_language,release_date,revenue,vote_average
344,9331,Clear and Present Danger,tt0109444,en,8/3/1994,215887717.0,6.4
345,10731,The Client,tt0109446,en,7/20/1994,117615211.0,6.4
346,10464,"Corrina, Corrina",tt0109484,en,8/12/1994,0.0,6.4
347,34152,Crooklyn,tt0109504,en,5/13/1994,0.0,6.7
348,9495,The Crow,tt0109506,en,5/11/1994,94000000.0,7.3
350,888,The Flintstones,tt0109813,en,5/26/1994,341631208.0,5.0
351,13,Forrest Gump,tt0109830,en,7/6/1994,677945399.0,8.2
352,712,Four Weddings and a Funeral,tt0109831,en,3/9/1994,254700832.0,6.6
355,10879,I Love Trouble,tt0110093,en,6/29/1994,61947267.0,5.3
356,10660,It Could Happen to You,tt0110167,en,7/29/1994,0.0,6.1
358,41647,"The Wonderful, Horrible Life of Leni Riefenstahl",tt0107472,en,9/11/1993,449707.0,7.3
359,8587,The Lion King,tt0110357,en,6/23/1994,788241776.0,8.0
362,854,The Mask,tt0110475,en,7/29/1994,351583407.0,6.6
363,9359,Maverick,tt0110478,en,5/20/1994,0.0,6.6
364,23333,Mrs. Parker and the Vicious Circle,tt0110588,en,9/7/1994,0.0,6.3
365,36593,The Naked Gun 33⅓: The Final Insult,tt0110622,en,3/18/1994,51132598.0,6.4
366,12280,The Paper,tt0110771,en,3/18/1994,0.0,6.1
367,2788,Reality Bites,tt0110950,en,2/18/1994,20079850.0,6.5
368,10427,Red Rock West,tt0105226,en,7/8/1993,2000000.0,6.4
371,8987,The River Wild,tt0110997,en,9/30/1994,0.0,6.1
372,1637,Speed,tt0111257,en,6/9/1994,350448145.0,6.8
374,8831,Timecop,tt0111438,en,9/15/1994,101646581.0,5.5
375,36955,True Lies,tt0111503,en,7/14/1994,378882411.0,6.8
376,10449,When a Man Loves a Woman,tt0111693,en,4/29/1994,50021959.0,6.0
377,10395,Wolf,tt0111742,en,6/17/1994,0.0,6.0
378,12160,Wyatt Earp,tt0111756,en,6/24/1994,25052000.0,6.5
381,29444,S.F.W.,tt0111048,en,9/15/1994,0.0,6.1
383,39953,"Boys Life: Three Stories of Love, Lust, and Liberation",tt0112570,en,9/30/1994,0.0,2.0
385,315,"Faster, Pussycat! Kill! Kill!",tt0059170,en,8/6/1965,0.0,6.5
386,22067,Jason's Lyric,tt0110186,en,9/28/1994,20851521.0,5.9
389,32502,Coldblooded,tt0112702,en,9/15/1995,0.0,6.7
390,267188,Desert Winds,tt0112849,en,12/31/1997,0.0,0.0
391,28732,Fall Time,tt0113014,en,5/13/1995,0.0,6.3
395,291731,Homage,tt0113319,en,5/3/1995,0.0,0.0
397,203119,Open Season,tt0114047,en,5/3/1996,0.0,0.0
398,172923,Dos Crímenes,tt0112889,en,5/26/1995,0.0,5.0
399,316098,Brother Minister: The Assassination of Malcolm X,tt0109339,en,3/1/1995,0.0,4.0
401,171857,Federal Hill,tt0109785,en,2/24/1995,0.0,5.0
403,18069,8 Seconds,tt0109021,en,2/25/1994,0.0,7.2
404,19092,Above the Rim,tt0109035,en,3/23/1994,0.0,6.7
